Time,Q1,Q2,Q3,Q4,Q5,Q6,Qdot1,Qdot2,Qdot3,Qdot4,Qdot5,Qdot6,x,y,z,xdot,ydot,zdot,FT1,FT2,FT3,FT4,FT5,FT6,handle_pos1,handle_pos2,mag11, mag12, mag21,mag22,f1,f2, dxl_pos1, dxl_pos2
22:35:23:390319,-0.0156207,-0.462757,1.30702,-0.00624828,1.35809,2.34319,-0.0190855,-0.00942879,-0.077132,0.000362379,0.067585,-0.0195734,0.458456,-0.00861983,0.217869,0.00690275,-0.00879656,0.0187681,-1.83,0.25,-7.4,0.599,0.021,-0.082,0.0059,0.0014,0.020562,0.00876196,0.0160782,0.0132782,-5.40386,-1.10092,951,952
22:35:23:395445,-0.0156556,-0.462809,1.30671,-0.00624828,1.35835,2.34312,-0.0205633,-0.00811392,-0.081249,0.000387197,0.0730078,-0.0210893,0.458442,-0.00862772,0.217925,0.00680349,-0.0094684,0.0205983,-1.83,0.25,-7.4,0.599,0.021,-0.082,0.0059,0.0014,0.020562,0.00876196,0.0160782,0.0132782,-5.40386,-1.10092,951,952
22:35:23:400455,-0.0156905,-0.462861,1.30631,-0.00624828,1.35858,2.34303,-0.0220033,-0.00691885,-0.0849352,0.000413831,0.07788,-0.0225645,0.458474,-0.00864431,0.217995,0.00670675,-0.0101234,0.0222455,-1.53,0.650002,-8.2,0.559,0.011,-0.089,0.0059,0.0014,0.020562,0.00876196,0.0160782,0.0132782,-5.40386,-1.10092,951,952
22:35:23:405562,-0.0157254,-0.462896,1.30589,-0.00624828,1.35884,2.34293,-0.0230656,-0.00615751,-0.0900724,0.000439431,0.0837719,-0.023668,0.45854,-0.00866143,0.218092,0.00680669,-0.0106098,0.0241298,-1.53,0.650002,-8.2,0.559,0.011,-0.089,0.0059,0.0013,0.020562,0.00876196,0.0159782,0.0133782,-5.40386,-1.02099,951,952
22:35:23:410560,-0.0157778,-0.462931,1.30547,-0.00624828,1.35919,2.34283,-0.0241013,-0.00550336,-0.0947411,0.000464093,0.0890884,-0.0247412,0.458603,-0.00867852,0.218202,0.00690369,-0.011084,0.0258257,-1.54,-0.549999,-8.34,0.518,-0.012,-0.0909998,0.006,0.0014,0.020662,0.00866195,0.0159782,0.0133782,-5.52447,-1.02099,951,952
22:35:23:415681,-0.0158127,-0.462966,1.30504,-0.00624828,1.35959,2.34274,-0.0251398,-0.00316425,-0.0964827,0.000485061,0.0931626,-0.0258088,0.458645,-0.00870331,0.218311,0.00639724,-0.0115502,0.0274137,-1.54,-0.549999,-8.34,0.518,-0.012,-0.0909998,0.006,0.0014,0.020662,0.00866195,0.0160782,0.0132782,-5.52447,-1.10092,951,952
22:35:23:420710,-0.0158476,-0.462983,1.30455,-0.00624828,1.36007,2.34262,-0.0261526,-0.000957414,-0.0978937,0.000504129,0.0967741,-0.0268474,0.458679,-0.00872,0.218426,0.00590349,-0.0120047,0.0288428,-1.32,-2.33,-8.37,0.598,-0.028,-0.099,0.0061,0.0014,0.020762,0.00856196,0.0160782,0.0132782,-5.64664,-1.10092,951,952
22:35:23:425807,-0.0158825,-0.462983,1.30395,-0.00624828,1.36071,2.34251,-0.0269273,0.00371289,-0.0950802,0.000517362,0.0986261,-0.027636,0.458713,-0.00873669,0.218564,0.00453215,-0.012337,0.030131,-1.32,-2.33,-8.37,0.598,-0.028,-0.099,0.0061,0.0014,0.020762,0.00856196,0.0160782,0.0132782,-5.64664,-1.10092,951,952
22:35:23:430806,-0.0159349,-0.463001,1.30343,-0.00624828,1.36143,2.34239,-0.0276828,0.00819616,-0.0921183,0.000528252,0.100143,-0.0284027,0.458735,-0.00875327,0.218741,0.00319534,-0.012661,0.0312905,-0.95,-2.79,-8.28,0.688,0.048,-0.107,0.0061,0.0014,0.020762,0.00856196,0.0160782,0.0132782,-5.64664,-1.10092,951,952
22:35:23:435928,-0.0160047,-0.463018,1.30298,-0.00624828,1.36186,2.34225,-0.0280216,0.0131653,-0.0878665,0.00052749,0.100858,-0.0287455,0.45872,-0.00877727,0.218889,0.00166369,-0.0127921,0.0322849,-0.95,-2.79,-8.28,0.688,0.048,-0.107,0.0062,0.0014,0.020862,0.00846195,0.0160782,0.0132782,-5.7704,-1.10092,951,952
