Time_us,Q1,Q2,Q3,Q4,Q5,Q6,Qdot_a1,Qdot_a2,Qdot_a3,Qdot_a4,Qdot_a5,Qdot_a6,Qdot1,Qdot2,Qdot3,Qdot4,Qdot5,Qdot6,X,Y,Z,Rx,Ry,Rz,FT1,FT2,FT3,FT4,FT5,FT6,F_cmd1,F_cmd2,F_cmd3,F_cmd4,F_cmd5,F_cmd6,v_meas1,v_meas2,v_meas3,v_meas4,v_meas5,v_meas6,v_lpf1,v_lpf2,v_lpf3,v_lpf4,v_lpf5,v_lpf6,vel1,vel2,vel3,vel4,vel5,vel6,bd_desired,bd_applied,beta_hat,K_hat,curvature_hat,target_curvature,gamma1,gamma2,intended_acc_x,intended_acc_y,intended_force_x,intended_force_y,intended_dir_x,intended_dir_y,B11,B12,B21,B22,indirect_ready
1781299753855465,0.00774926,-0.354075,1.81965,3.49066e-05,0.968012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372531,0.0028938,0.120337,-3.13386,-0.000139687,3.14156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.62766e-06,4.36111e-08,-1.34962e-05,-2.80717e-07,3.62242e-05,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.00450882,3.49408e-05,1,0,150,0,0,150,0
1781299753860642,0.00774926,-0.354075,1.81965,3.49066e-05,0.968012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372531,0.0028938,0.120337,-3.13386,-0.000139687,3.14156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.50213e-06,3.48889e-08,-1.0797e-05,-2.24573e-07,2.89794e-05,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.00397213,3.07817e-05,1,0,150,0,0,150,0
1781299753865682,0.00774926,-0.354075,1.81965,3.49066e-05,0.968012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372531,0.0028938,0.120337,-3.13386,-0.000139687,3.14156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6017e-06,2.79111e-08,-8.63757e-06,-1.79659e-07,2.31835e-05,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.00349167,2.70584e-05,1,0,150,0,0,150,0
1781299753870666,0.00774926,-0.354075,1.81965,3.49066e-05,0.968012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372531,0.0028938,0.120337,-3.13386,-0.000139687,3.14156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88136e-06,2.23289e-08,-6.91006e-06,-1.43727e-07,1.85468e-05,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.00306334,2.37391e-05,1,0,150,0,0,150,0
1781299753875731,0.00774926,-0.354075,1.81965,3.49066e-05,0.968012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372531,0.0028938,0.120337,-3.13386,-0.000139687,3.14156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.30509e-06,1.78631e-08,-5.52805e-06,-1.14981e-07,1.48374e-05,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.00268288,2.07908e-05,1,0,150,0,0,150,0
1781299753880902,0.00774926,-0.354075,1.81965,3.49066e-05,0.968012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372531,0.0028938,0.120337,-3.13386,-0.000139687,3.14156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84407e-06,1.42905e-08,-4.42244e-06,-9.19852e-08,1.187e-05,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.00234601,1.81802e-05,1,0,150,0,0,150,0
1781299753885900,0.00776672,-0.354075,1.81965,5.23599e-05,0.968012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372531,0.00290375,0.120337,-3.13386,-0.000139687,3.14155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47526e-06,1.14324e-08,-3.53795e-06,-7.35882e-08,9.49596e-06,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.00204855,1.5875e-05,1,0,150,0,0,150,0
1781299753891024,0.00776672,-0.354075,1.81965,5.23599e-05,0.968012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372531,0.00290375,0.120337,-3.13386,-0.000139687,3.14155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18021e-06,9.1459e-09,-2.83036e-06,-5.88705e-08,7.59677e-06,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.00178653,1.38446e-05,1,0,150,0,0,150,0
1781299753896027,0.00776672,-0.354075,1.81965,5.23599e-05,0.968012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372531,0.00290375,0.120337,-3.13386,-0.000139687,3.14155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44164e-07,7.31672e-09,-2.26429e-06,-4.70964e-08,6.07742e-06,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.00155625,1.206e-05,1,0,150,0,0,150,0
1781299753901151,0.00776672,-0.354075,1.81965,5.23599e-05,0.968012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372531,0.00290375,0.120337,-3.13386,-0.000139687,3.14155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.55331e-07,5.85338e-09,-1.81143e-06,-3.76771e-08,4.86193e-06,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.00135423,1.04945e-05,1,0,150,0,0,150,0
