Time_us,Q1,Q2,Q3,Q4,Q5,Q6,Qdot_a1,Qdot_a2,Qdot_a3,Qdot_a4,Qdot_a5,Qdot_a6,Qdot1,Qdot2,Qdot3,Qdot4,Qdot5,Qdot6,X,Y,Z,Rx,Ry,Rz,FT1,FT2,FT3,FT4,FT5,FT6,F_cmd1,F_cmd2,F_cmd3,F_cmd4,F_cmd5,F_cmd6,v_meas1,v_meas2,v_meas3,v_meas4,v_meas5,v_meas6,vel1,vel2,vel3,vel4,vel5,vel6,rf1,rf2,rf3,F_exp1,F_exp2,F_exp3,beta,Ci11,Ci12,Ci13,Ci21,Ci22,Ci23,Ci31,Ci32,Ci33,Mi_inv11,Mi_inv12,Mi_inv13,Mi_inv21,Mi_inv22,Mi_inv23,Mi_inv31,Mi_inv32,Mi_inv33
1781298894953944,0.00776672,-0.353866,1.82013,0,0.968029,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.372343,0.00289194,0.120293,-3.13384,-0.000436481,-3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0605872,-7.80636,-0.000293033,0.000447583,3.47632e-06,5.39874e-05,1.00023,20.0001,-3.45111e-05,-0.000535891,-3.45111e-05,20.0045,-4.16243e-06,-0.000536129,-4.16249e-06,20.0044,0.0999997,1.72469e-07,2.67913e-06,1.72469e-07,0.0999775,2.08106e-08,2.67913e-06,2.08106e-08,0.0999778
1781298894959127,0.00776672,-0.353866,1.82013,0,0.968029,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.372343,0.00289194,0.120293,-3.13384,-0.000436481,-3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0484698,-6.23187,-0.000234426,0.000358068,2.78107e-06,4.31785e-05,1.00018,20.0001,-2.76268e-05,-0.000428919,-2.76268e-05,20.0036,-3.33251e-06,-0.000428919,-3.3307e-06,20.0036,0.0999997,1.37952e-07,2.14203e-06,1.37952e-07,0.099982,1.66447e-08,2.14203e-06,1.66374e-08,0.0999822
1781298894964115,0.00776672,-0.353866,1.82013,0,0.968029,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.372343,0.00289194,0.120293,-3.13384,-0.000436481,-3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0387758,-5.00202,-0.000187541,0.000286455,2.22486e-06,3.4537e-05,1.00014,20,-2.20984e-05,-0.000342832,-2.21133e-05,20.0029,-2.66545e-06,-0.000343071,-2.66545e-06,20.0028,0.0999998,1.10304e-07,1.71237e-06,1.10304e-07,0.0999856,1.32884e-08,1.71237e-06,1.32884e-08,0.0999858
1781298894969241,0.00776672,-0.353866,1.82013,-1.74533e-05,0.968029,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.372343,0.00288849,0.120293,-3.13383,-0.000436481,-3.14158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0310207,-4.00162,-0.000150033,0.000229164,1.77989e-06,2.76267e-05,1.00012,20,-1.77026e-05,-0.000274168,-1.77026e-05,20.0023,-2.12737e-06,-0.000274168,-2.12924e-06,20.0023,0.0999998,8.82428e-08,1.3715e-06,8.81846e-08,0.0999885,1.06595e-08,1.3715e-06,1.06595e-08,0.0999886
1781298894974188,0.00776672,-0.353866,1.82013,-1.74533e-05,0.968029,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.372343,0.00288849,0.120293,-3.13383,-0.000436481,-3.14158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02522,-3.22712,-0.00173389,0.000183332,1.42391e-06,2.20998e-05,1.00009,20,-1.4171e-05,-0.000219747,-1.4171e-05,20.0018,-1.70805e-06,-0.000219985,-1.70805e-06,20.0018,0.0999999,7.07223e-08,1.09703e-06,7.07223e-08,0.0999908,8.50923e-09,1.0961e-06,8.50923e-09,0.0999909
1781298894979366,0.00776672,-0.353866,1.82013,-1.74533e-05,0.968029,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.372343,0.00288849,0.120293,-3.13383,-0.000436481,-3.14158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020176,-2.54942,-0.00340444,0.000146665,1.13913e-06,1.76791e-05,1.00007,20,-1.13249e-05,-0.000175706,-1.13249e-05,20.0015,-1.36718e-06,-0.000175945,-1.36532e-06,20.0015,0.0999999,5.65778e-08,8.78098e-07,5.65778e-08,0.0999926,6.79574e-09,8.77167e-07,6.8103e-09,0.0999927
1781298894984427,0.00776672,-0.353883,1.82013,-1.74533e-05,0.968029,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.372341,0.00288848,0.120286,-3.13383,-0.000453878,-3.14158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0161408,-2.03953,-0.00272355,0.000117332,9.11305e-07,1.41428e-05,1.00006,20,-9.05991e-06,-0.000140417,-9.05991e-06,20.0012,-1.08592e-06,-0.000140417,-1.08592e-06,20.0012,0.0999999,4.51691e-08,7.02994e-07,4.52856e-08,0.0999941,5.45697e-09,7.03925e-07,5.47152e-09,0.0999942
1781298894989495,0.00776672,-0.353883,1.82013,-1.74533e-05,0.968029,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.372341,0.00288848,0.120286,-3.13383,-0.000453878,-3.14158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133067,-1.63163,-0.00533092,9.38659e-05,7.29044e-07,1.13141e-05,1.00005,20,-7.22706e-06,-0.000112805,-7.22706e-06,20.0009,-8.79169e-07,-0.000112566,-8.86619e-07,20.0009,0.0999999,3.62052e-08,5.6067e-07,3.63216e-08,0.0999953,4.30737e-09,5.6067e-07,4.33647e-09,0.0999953
1781298894994697,0.00776672,-0.353883,1.82013,-1.74533e-05,0.968029,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.372341,0.00288848,0.120286,-3.13383,-0.000453878,-3.14158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101528,-1.3053,-0.00032464,7.50928e-05,5.83236e-07,9.05115e-06,1.00004,20,-5.75185e-06,-8.96941e-05,-5.76675e-06,20.0008,-6.98958e-07,-8.99325e-05,-6.98958e-07,20.0007,0.1,2.90456e-08,4.48594e-07,2.89874e-08,0.0999962,3.48336e-09,4.47663e-07,3.48336e-09,0.0999963
1781298894999618,0.00776672,-0.353883,1.82013,-1.74533e-05,0.968029,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.372341,0.00288848,0.120286,-3.13383,-0.000453878,-3.14158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00873789,-1.04424,-0.00518483,6.00742e-05,4.66588e-07,7.24087e-06,1.00003,20,-4.66406e-06,-7.22936e-05,-4.66406e-06,20.0006,-5.73695e-07,-7.22936e-05,-5.73695e-07,20.0006,0.1,2.31666e-08,3.58063e-07,2.31084e-08,0.099997,2.73576e-09,3.58063e-07,2.73576e-09,0.099997
1781298895004561,0.00776672,-0.353883,1.82013,-1.74533e-05,0.968029,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.372341,0.00288848,0.120286,-3.13383,-0.000453878,-3.14158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00622076,-0.933895,0.00816494,4.80594e-05,3.73272e-07,5.79267e-06,1.00002,20,-3.71039e-06,-5.77262e-05,-3.71039e-06,20.0005,-4.61936e-07,-5.79646e-05,-4.76837e-07,20.0005,0.1,1.84518e-08,2.8668e-07,1.851e-08,0.0999976,2.15368e-09,2.8668e-07,2.15368e-09,0.0999976
1781298895009745,0.00776672,-0.353883,1.82013,-1.74533e-05,0.968029,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.372341,0.00288848,0.120286,-3.13383,-0.000453878,-3.14158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00593855,-0.623988,-0.00885906,3.84475e-05,2.98617e-07,4.63412e-06,1.00002,20,-2.96533e-06,-4.61137e-05,-2.95043e-06,20.0004,-3.57628e-07,-4.6114e-05,-3.57628e-07,20.0004,0.1,1.4843e-08,2.28272e-07,1.47847e-08,0.0999981,1.74623e-09,2.28272e-07,1.74623e-09,0.0999981
1781298895014732,0.00776672,-0.353883,1.82013,-1.74533e-05,0.968029,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.372341,0.00288848,0.120286,-3.13383,-0.000453878,-3.14158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00475084,-0.49919,-0.00708725,3.0758e-05,2.38893e-07,3.70729e-06,1.00002,20,-2.39909e-06,-3.72822e-05,-2.41399e-06,20.0003,-2.68221e-07,-3.70438e-05,-2.68221e-07,20.0003,0.1,1.16415e-08,1.82585e-07,1.16997e-08,0.0999985,1.39698e-09,1.81654e-07,1.39698e-09,0.0999985
1781298895019863,0.00776672,-0.353883,1.82013,-1.74533e-05,0.968029,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.372341,0.00288848,0.120286,-3.13383,-0.000453878,-3.14158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0053037,-0.399352,-0.017694,2.46064e-05,1.91115e-07,2.96583e-06,1.00001,20,-1.93715e-06,-2.96393e-05,-1.93715e-06,20.0002,-2.98023e-07,-2.96384e-05,-2.38419e-07,20.0002,0.1,9.19681e-09,1.46054e-07,9.31323e-09,0.0999988,9.31323e-10,1.46054e-07,9.31323e-10,0.0999988
1781298895024818,0.00776672,-0.353883,1.82012,-1.74533e-05,0.968029,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.372348,0.00288853,0.120291,-3.13383,-0.000436391,-3.14158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0053037,-0.399352,-0.017694,1.96851e-05,1.52892e-07,2.37266e-06,1.00001,20,-1.51992e-06,-2.36481e-05,-1.51992e-06,20.0002,-2.38419e-07,-2.4124e-05,-2.98023e-07,20.0002,0.1,7.567e-09,1.16113e-07,7.567e-09,0.099999,4.65661e-10,1.16113e-07,4.65661e-10,0.099999
1781298895029988,0.00776672,-0.353883,1.82012,-1.74533e-05,0.968029,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.372348,0.00288853,0.120291,-3.13383,-0.000436391,-3.14158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0053037,-0.399352,-0.017694,1.57481e-05,1.22313e-07,1.89813e-06,1.00001,20,-1.2517e-06,-1.93343e-05,-1.2219e-06,20.0002,-2.38419e-07,-1.93343e-05,-2.38419e-07,20.0002,0.1,6.17001e-09,9.36525e-08,6.17001e-09,0.0999992,0,9.36525e-08,4.65661e-10,0.0999992
1781298895034981,0.00776672,-0.353883,1.82012,-1.74533e-05,0.968029,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.372348,0.00288853,0.120291,-3.13383,-0.000436391,-3.14158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0053037,-0.399352,-0.017694,1.25985e-05,9.78507e-08,1.5185e-06,1.00001,20,-9.53674e-07,-1.5026e-05,-9.53674e-07,20.0001,0,-1.50269e-05,-5.96046e-08,20.0001,0.1,4.88944e-09,7.58409e-08,4.88944e-09,0.0999994,9.31323e-10,7.58373e-08,9.31323e-10,0.0999994
1781298895040102,0.00776672,-0.353883,1.82012,-1.74533e-05,0.968029,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.372348,0.00288853,0.120291,-3.13383,-0.000436391,-3.14158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0053037,-0.399352,-0.017694,1.00788e-05,7.82806e-08,1.2148e-06,1.00001,20,-8.04663e-07,-1.23903e-05,-8.04663e-07,20.0001,0,-1.21519e-05,0,20.0001,0.1,4.07454e-09,6.1802e-08,3.95812e-09,0.0999995,4.65661e-10,6.08707e-08,4.65661e-10,0.0999995
1781298895045051,0.00776672,-0.353883,1.82012,-1.74533e-05,0.968029,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.372348,0.00288853,0.120291,-3.13383,-0.000436391,-3.14158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0053037,-0.399352,-0.017694,8.06303e-06,6.26245e-08,9.71841e-07,1,20,-6.25849e-07,-9.9903e-06,-5.96046e-07,20.0001,-5.96046e-08,-9.75188e-06,0,20.0001,0.1,3.25963e-09,4.59222e-08,3.0268e-09,0.0999996,4.65661e-10,4.59222e-08,4.65661e-10,0.0999996
